Hole,Distance,Par
1,489,5
2,367,4
3,362,4
4,392,4
5,145,3
6,534,5
7,327,4
8,336,4
9,338,4
10,495,5
11,167,3
12,339,4
13,158,3
14,435,5
15,377,4
16,381,4
17,182,3
18,402,4
