Date,Course,ShotCode,Hole #,Shot #,Par
2020-07-03,RiveSud,435t,14,1,5
2020-07-03,RiveSud,230f,14,2,5
2020-07-03,RiveSud,78r,14,3,5
2020-07-03,RiveSud,18r,14,4,5
2020-07-03,RiveSud,1g,14,5,5
2020-07-03,RiveSud,377t,15,1,4
2020-07-03,RiveSud,150r,15,2,4
2020-07-03,RiveSud,50r,15,3,4
2020-07-03,RiveSud,10s,15,4,4
2020-07-03,RiveSud,8g,15,5,4
2020-07-03,RiveSud,381t,16,1,4
2020-07-03,RiveSud,180f,16,2,4
2020-07-03,RiveSud,100r,16,3,4
2020-07-03,RiveSud,9g,16,4,4
2020-07-03,RiveSud,1g,16,5,4
2020-07-03,RiveSud,182t,17,1,3
2020-07-03,RiveSud,10f,17,2,3
2020-07-03,RiveSud,4g,17,3,3
2020-07-03,RiveSud,402t,18,1,4
2020-07-03,RiveSud,152f,18,2,4
2020-07-03,RiveSud,19f,18,3,4
2020-07-03,RiveSud,4g,18,4,4
2020-07-10,RiveSud,489t,1,1,5
2020-07-10,RiveSud,256r,1,2,5
2020-07-10,RiveSud,118f,1,3,5
2020-07-10,RiveSud,74f,1,4,5
2020-07-10,RiveSud,17r,1,5,5
2020-07-10,RiveSud,3g,1,6,5
2020-07-10,RiveSud,1g,1,7,5
2020-07-10,RiveSud,367t,2,1,4
2020-07-10,RiveSud,280r,2,2,4
2020-07-10,RiveSud,145r,2,3,4
2020-07-10,RiveSud,11f,2,4,4
2020-07-10,RiveSud,7g,2,5,4
2020-07-10,RiveSud,1g,2,6,4
2020-07-10,RiveSud,362t,3,1,4
2020-07-10,RiveSud,137r,3,2,4
2020-07-10,RiveSud,20r,3,3,4
2020-07-10,RiveSud,4g,3,4,4
2020-07-10,RiveSud,392t,4,1,4
2020-07-10,RiveSud,150f,4,2,4
2020-07-10,RiveSud,20s,4,3,4
2020-07-10,RiveSud,12g,4,4,4
2020-07-10,RiveSud,2g,4,5,4
2020-07-10,RiveSud,145t,5,1,3
2020-07-10,RiveSud,95r,5,2,3
2020-07-10,RiveSud,35f,5,3,3
2020-07-10,RiveSud,35r,5,4,3
2020-07-10,RiveSud,30r,5,5,3
2020-07-10,RiveSud,6f,5,6,3
2020-07-10,RiveSud,2g,5,7,3
2020-07-10,RiveSud,534t,6,1,5
2020-07-10,RiveSud,329f,6,2,5
2020-07-10,RiveSud,254f,6,3,5
2020-07-10,RiveSud,63r,6,4,5
2020-07-10,RiveSud,10f,6,5,5
2020-07-10,RiveSud,6f,6,6,5
2020-07-10,RiveSud,2g,6,7,5
2020-07-10,RiveSud,327t,7,1,4
2020-07-10,RiveSud,120f,7,2,4
2020-07-10,RiveSud,15s,7,3,4
2020-07-10,RiveSud,16f,7,4,4
2020-07-10,RiveSud,5g,7,5,4
2020-07-10,RiveSud,1g,7,6,4
2020-07-10,RiveSud,336t,8,1,4
2020-07-10,RiveSud,130r,8,2,4
2020-07-10,RiveSud,11g,8,3,4
2020-07-10,RiveSud,2g,8,4,4
2020-07-10,RiveSud,338t,9,1,4
2020-07-10,RiveSud,190f,9,2,4
2020-07-10,RiveSud,60r,9,3,4
2020-07-10,RiveSud,14g,9,4,4
2020-07-10,RiveSud,1g,9,5,4
2020-07-10,RiveSud,495t,10,1,5
2020-07-10,RiveSud,272r,10,2,5
2020-07-10,RiveSud,100f,10,3,5
2020-07-10,RiveSud,14f,10,4,5
2020-07-10,RiveSud,8g,10,5,5
2020-07-10,RiveSud,2g,10,6,5
2020-07-10,RiveSud,167t,11,1,3
2020-07-10,RiveSud,33rp,11,3,3
2020-07-10,RiveSud,16r,11,4,3
2020-07-10,RiveSud,20g,11,5,3
2020-07-10,RiveSud,3g,11,6,3
2020-07-10,RiveSud,339t,12,1,4
2020-07-10,RiveSud,133f,12,2,4
2020-07-10,RiveSud,22r,12,3,4
2020-07-10,RiveSud,10g,12,4,4
2020-07-10,RiveSud,1g,12,5,4
2020-07-10,RiveSud,158t,13,1,3
2020-07-10,RiveSud,20r,13,2,3
2020-07-10,RiveSud,10f,13,3,3
2020-07-10,RiveSud,2g,13,4,3
2020-07-10,RiveSud,435t,14,1,5
2020-07-10,RiveSud,309r,14,2,5
2020-07-10,RiveSud,175r,14,3,5
2020-07-10,RiveSud,13r,14,4,5
2020-07-10,RiveSud,27g,14,5,5
2020-07-10,RiveSud,2g,14,6,5
2020-07-10,RiveSud,377t,15,1,4
2020-07-10,RiveSud,152f,15,2,4
2020-07-10,RiveSud,20f,15,3,4
2020-07-10,RiveSud,12f,15,4,4
2020-07-10,RiveSud,3g,15,5,4
2020-07-10,RiveSud,381t,16,1,4
2020-07-10,RiveSud,230r,16,2,4
2020-07-10,RiveSud,120f,16,3,4
2020-07-10,RiveSud,68r,16,4,4
2020-07-10,RiveSud,25f,16,5,4
2020-07-10,RiveSud,15f,16,6,4
2020-07-10,RiveSud,5g,16,7,4
2020-07-10,RiveSud,182t,17,1,3
2020-07-10,RiveSud,58r,17,2,3
2020-07-10,RiveSud,4g,17,3,3
2020-07-10,RiveSud,1g,17,4,3
2020-07-10,RiveSud,402t,18,1,4
2020-07-10,RiveSud,178f,18,2,4
2020-07-10,RiveSud,22r,18,3,4
2020-07-10,RiveSud,10g,18,4,4
