,Date,Course,ShotCode,Hole #,Shot #,Par,ShotType,PGA Avg,StrokesGained
71,27-Jun,RiveSud,381t,16,1,4,Drive,3.9619999999999997,-0.2280000000000002
72,27-Jun,RiveSud,150r,16,2,4,Approach (101 - 230 yds),3.19,-0.7069999999999999
73,27-Jun,RiveSud,58r,16,3,4,Approach (21 - 100 yds),2.897,0.18699999999999983
74,27-Jun,RiveSud,12g,16,4,4,Putting,1.71,-0.30000000000000004
75,27-Jun,RiveSud,2g,16,5,4,Putting,1.01,0.010000000000000009
76,27-Jun,RiveSud,182t,17,1,3,Approach (101 - 230 yds),3.057,-0.6000000000000001
77,27-Jun,RiveSud,54f,17,2,3,Approach (21 - 100 yds),2.657,-0.1379999999999999
78,27-Jun,RiveSud,15g,17,3,3,Putting,1.795,-0.2550000000000001
79,27-Jun,RiveSud,3g,17,4,3,Putting,1.05,0.050000000000000044
80,27-Jun,RiveSud,402t,18,1,4,Drive,3.9930000000000003,-0.2599999999999998
81,27-Jun,RiveSud,151s,18,2,4,Bunker,3.253,-0.05699999999999994
82,27-Jun,RiveSud,15f,18,3,4,Around the Green (0 - 20 yds),2.31,0.17000000000000015
83,27-Jun,RiveSud,4g,18,4,4,Putting,1.14,0.1399999999999999
